geometry, dimension, cardinality, alpha
degenerate, 9, 150, 0.429287
degenerate, 9, 200, 0.429287
degenerate, 9, 250, 0.429287
degenerate, 9, 300, 0.518479
degenerate, 10, 25, 0.404102
degenerate, 10, 50, 0.426452
degenerate, 10, 75, 0.454723
degenerate, 10, 100, 0.459846
degenerate, 10, 150, 0.486205
degenerate, 10, 200, 0.459846
degenerate, 10, 250, 0.486205
degenerate, 10, 300, 0.404102
disconnected, 2, 25, 0.610285
disconnected, 2, 50, 0.610285
disconnected, 2, 75, 0.610285
disconnected, 2, 100, 0.610285
disconnected, 2, 150, 1.441417
disconnected, 2, 200, 0.610285
disconnected, 2, 250, 1.441417
disconnected, 2, 300, 0.610285
disconnected, 3, 25, 0.491206
disconnected, 3, 50, 0.861965
disconnected, 3, 75, 0.772728
disconnected, 3, 100, 0.845137
disconnected, 3, 150, 0.905620
disconnected, 3, 200, 0.002409
disconnected, 3, 250, 0.737686
disconnected, 3, 300, 0.499606
disconnected, 4, 25, 0.353547
disconnected, 4, 50, 0.188015
disconnected, 4, 75, 0.244672
disconnected, 4, 100, 0.200265
disconnected, 4, 150, 0.802950
disconnected, 4, 200, 0.790584
disconnected, 4, 250, 0.802383
disconnected, 4, 300, 0.802213
disconnected, 5, 25, 6.969759
disconnected, 5, 50, 0.386217
disconnected, 5, 75, 28.011762
disconnected, 5, 100, 14.314146
disconnected, 5, 150, 8.671420
disconnected, 5, 200, 18.160740
disconnected, 5, 250, 0.714647
disconnected, 5, 300, 0.714403
disconnected, 6, 25, 1.010365
disconnected, 6, 50, 10.804183
disconnected, 6, 75, 12.151128
disconnected, 6, 100, 12.076414
disconnected, 6, 150, 11.905702
disconnected, 6, 200, 6.795014
disconnected, 6, 250, 0.570520
disconnected, 6, 300, 23.850830
disconnected, 7, 25, 0.936003
disconnected, 7, 50, 0.938525
disconnected, 7, 75, 0.933261
disconnected, 7, 100, 0.871666
disconnected, 7, 150, 0.826100
disconnected, 7, 200, 0.802195
disconnected, 7, 250, 0.769479
disconnected, 7, 300, 0.773528
disconnected, 8, 25, 0.957036
disconnected, 8, 50, 0.956214
disconnected, 8, 75, 0.814758
disconnected, 8, 100, 0.858578
disconnected, 8, 150, 0.951965
disconnected, 8, 200, 12.306133
disconnected, 8, 250, 0.738553
disconnected, 8, 300, 11.956150
disconnected, 9, 25, 1.000000
disconnected, 9, 50, 1.000000
disconnected, 9, 75, 1.000000
disconnected, 9, 100, 1.000000
disconnected, 9, 150, 1.000000
disconnected, 9, 200, 1.000000
disconnected, 9, 250, 1.000000
disconnected, 9, 300, 1.000000
disconnected, 10, 25, 12.471102
disconnected, 10, 50, 0.702366
disconnected, 10, 75, 0.717281
disconnected, 10, 100, 0.703069
disconnected, 10, 150, 0.718715
disconnected, 10, 200, 0.725294
disconnected, 10, 250, 0.692259
disconnected, 10, 300, 0.692259
mixed, 2, 25, 1.021561
mixed, 2, 50, 1.021561
mixed, 2, 75, 0.610285
mixed, 2, 100, 1.103958
mixed, 2, 150, 0.610285
mixed, 2, 200, 0.610285
mixed, 2, 250, 0.610285
mixed, 2, 300, 0.610285
mixed, 3, 25, 1.038785
mixed, 3, 50, 1.149531
mixed, 3, 75, 1.098352
mixed, 3, 100, 1.173987
mixed, 3, 150, 1.122114
mixed, 3, 200, 1.206349
mixed, 3, 250, 1.122271
mixed, 3, 300, 0.967936
mixed, 4, 25, 1.120360
mixed, 4, 50, 1.175368
mixed, 4, 75, 1.200678
mixed, 4, 100, 1.146415
mixed, 4, 150, 1.206693
mixed, 4, 200, 1.182168
mixed, 4, 250, 1.242497
mixed, 4, 300, 1.016563
mixed, 5, 25, 1.561197
mixed, 5, 50, 1.522295
mixed, 5, 75, 1.679067
mixed, 5, 100, 1.304315
mixed, 5, 150, 1.347251
mixed, 5, 200, 1.455233
mixed, 5, 250, 1.377560
mixed, 5, 300, 1.297901
mixed, 6, 25, 1.521162
mixed, 6, 50, 1.699116
mixed, 6, 75, 1.597714
mixed, 6, 100, 1.614302
mixed, 6, 150, 18.433627
mixed, 6, 200, 1.672863
mixed, 6, 250, 1.703161
mixed, 6, 300, 18.515835
mixed, 7, 25, 1.451851
mixed, 7, 50, 2.420208
mixed, 7, 75, 2.421413
mixed, 7, 100, 1.568027
mixed, 7, 150, 13.481738
mixed, 7, 200, 1.572300
mixed, 7, 250, 1.680543
mixed, 7, 300, 9.149018
mixed, 8, 25, 1.447799
mixed, 8, 50, 2.243437
mixed, 8, 75, 2.253235
mixed, 8, 100, 2.280401
mixed, 8, 150, 1.710179
mixed, 8, 200, 1.808102
mixed, 8, 250, 1.803652
mixed, 8, 300, 11.378031
mixed, 9, 25, 2.329521
mixed, 9, 50, 2.308368
mixed, 9, 75, 2.326851
mixed, 9, 100, 2.225715
mixed, 9, 150, 2.234818
mixed, 9, 200, 2.239245
mixed, 9, 250, 2.241900
mixed, 9, 300, 2.304642
mixed, 10, 25, 2.326117
mixed, 10, 50, 2.326421
mixed, 10, 75, 2.305052
mixed, 10, 100, 20.837151
mixed, 10, 150, 2.211452
mixed, 10, 200, 2.710746
mixed, 10, 250, 2.649284
mixed, 10, 300, 2.602045
disconnected, 2, 25, 0.610285
disconnected, 2, 50, 0.610285
disconnected, 2, 75, 0.610285
disconnected, 2, 100, 0.610285
disconnected, 2, 150, 1.081598
disconnected, 2, 200, 0.610285
disconnected, 2, 250, 1.036118
disconnected, 2, 300, 0.610285
disconnected, 3, 25, 1.024610
disconnected, 3, 50, 0.625854
disconnected, 3, 75, 0.806867
disconnected, 3, 100, 1.091139
disconnected, 3, 150, 0.855456
disconnected, 3, 200, 0.959232
disconnected, 3, 250, 1.035914
disconnected, 3, 300, 0.995469
disconnected, 4, 25, 0.844848
disconnected, 4, 50, 1.072424
disconnected, 4, 75, 1.080911
disconnected, 4, 100, 1.073841
disconnected, 4, 150, 1.102170
disconnected, 4, 200, 1.202461
disconnected, 4, 250, 1.165996
disconnected, 4, 300, 1.137196
disconnected, 5, 25, 1.586003
disconnected, 5, 50, 1.034386
disconnected, 5, 75, 1.461759
disconnected, 5, 100, 1.512929
disconnected, 5, 150, 1.516155
disconnected, 5, 200, 1.235423
disconnected, 5, 250, 1.197138
disconnected, 5, 300, 1.215306
disconnected, 6, 25, 1.971050
disconnected, 6, 50, 1.905250
disconnected, 6, 75, 1.691303
disconnected, 6, 100, 1.685439
disconnected, 6, 150, 19.364240
disconnected, 6, 200, 8.320230
disconnected, 6, 250, 15.535949
disconnected, 6, 300, 18.563368
disconnected, 7, 25, 1.314474
disconnected, 7, 50, 2.150602
disconnected, 7, 75, 2.080262
disconnected, 7, 100, 2.086775
disconnected, 7, 150, 2.092977
disconnected, 7, 200, 1.741321
disconnected, 7, 250, 1.703758
disconnected, 7, 300, 12.964648
disconnected, 8, 25, 2.078672
disconnected, 8, 50, 2.046026
disconnected, 8, 75, 2.077856
disconnected, 8, 100, 2.073179
disconnected, 8, 150, 2.048887
disconnected, 8, 200, 1.809140
disconnected, 8, 250, 1.863814
disconnected, 8, 300, 1.826424
disconnected, 9, 25, 2.199062
disconnected, 9, 50, 2.195088
disconnected, 9, 75, 2.236750
disconnected, 9, 100, 1.967437
disconnected, 9, 150, 1.995470
disconnected, 9, 200, 2.014827
disconnected, 9, 250, 1.929100
disconnected, 9, 300, 1.937052
disconnected, 10, 25, 1.880020
disconnected, 10, 50, 1.884656
disconnected, 10, 75, 1.929050
disconnected, 10, 100, 1.926458
disconnected, 10, 150, 2.868499
disconnected, 10, 200, 2.882747
disconnected, 10, 250, 26.395703
disconnected, 10, 300, 26.416258
degenerate, 2, 25, 0.893402
degenerate, 2, 50, 0.610285
degenerate, 2, 75, 0.991322
degenerate, 2, 100, 0.985505
degenerate, 2, 150, 0.792922
degenerate, 2, 200, 0.999262
degenerate, 2, 250, 0.969087
degenerate, 2, 300, 0.792601
degenerate, 3, 25, 0.787677
degenerate, 3, 50, 0.869289
degenerate, 3, 75, 0.808496
degenerate, 3, 100, 0.640453
degenerate, 3, 150, 0.582611
degenerate, 3, 200, 0.796404
degenerate, 3, 250, 0.797383
degenerate, 3, 300, 0.780172
degenerate, 4, 25, 0.002409
degenerate, 4, 50, 0.610285
degenerate, 4, 75, 0.771543
degenerate, 4, 100, 0.634235
degenerate, 4, 150, 0.730753
degenerate, 4, 200, 0.650267
degenerate, 4, 250, 0.524505
degenerate, 4, 300, 0.767516
degenerate, 5, 25, 0.486013
degenerate, 5, 50, 0.426452
degenerate, 5, 75, 0.669319
degenerate, 5, 100, 0.549217
degenerate, 5, 150, 0.684419
degenerate, 5, 200, 0.371517
degenerate, 5, 250, 0.661163
degenerate, 5, 300, 0.236596
degenerate, 6, 25, 0.524505
degenerate, 6, 50, 0.524505
degenerate, 6, 75, 0.524505
degenerate, 6, 100, 0.543093
degenerate, 6, 150, 0.582283
degenerate, 6, 200, 0.630211
degenerate, 6, 250, 0.596471
degenerate, 6, 300, 0.630211
degenerate, 7, 25, 0.404102
degenerate, 7, 50, 0.531723
degenerate, 7, 75, 0.404102
degenerate, 7, 100, 0.499665
degenerate, 7, 150, 0.018545
degenerate, 7, 200, 0.549217
degenerate, 7, 250, 0.582267
degenerate, 7, 300, 0.587575
degenerate, 8, 25, 0.510342
degenerate, 8, 50, 0.512659
degenerate, 8, 75, 0.522198
degenerate, 8, 100, 0.524505
degenerate, 8, 150, 0.462063
degenerate, 8, 200, 0.404102
degenerate, 8, 250, 0.524505
degenerate, 8, 300, 0.549373
degenerate, 9, 25, 1.981468
degenerate, 9, 50, 0.413173
degenerate, 9, 75, 0.504981
degenerate, 9, 100, 0.468290
degenerate, 9, 150, 0.018545
degenerate, 9, 200, 0.428518
degenerate, 9, 250, 0.469585
degenerate, 9, 300, 0.510832
degenerate, 10, 25, 0.018545
degenerate, 10, 50, 0.490343
degenerate, 10, 75, 0.491121
degenerate, 10, 100, 0.404102
degenerate, 10, 150, 0.018545
degenerate, 10, 200, 0.468887
degenerate, 10, 250, 0.492630
degenerate, 10, 300, 0.492323
