geometry, dimension, cardinality, alpha
degenerate, 9, 150, 7.257066
degenerate, 9, 200, 6.705378
degenerate, 9, 250, 3.929404
degenerate, 9, 300, 7.416633
degenerate, 10, 25, 4.741667
degenerate, 10, 50, 4.693599
degenerate, 10, 75, 4.309108
degenerate, 10, 100, 6.764891
degenerate, 10, 150, 7.564274
degenerate, 10, 200, 6.451846
degenerate, 10, 250, 3.947146
degenerate, 10, 300, 7.554873
disconnected, 2, 25, 3.998472
disconnected, 2, 50, 4.108425
disconnected, 2, 75, 4.602232
disconnected, 2, 100, 4.181566
disconnected, 2, 150, 3.366824
disconnected, 2, 200, 4.105629
disconnected, 2, 250, 2.743003
disconnected, 2, 300, 3.445369
disconnected, 3, 25, 5.794309
disconnected, 3, 50, 4.642734
disconnected, 3, 75, 2.445787
disconnected, 3, 100, 2.432613
disconnected, 3, 150, 4.206122
disconnected, 3, 200, 3.973014
disconnected, 3, 250, 2.042982
disconnected, 3, 300, 1.321869
disconnected, 4, 25, 3.642680
disconnected, 4, 50, 3.396146
disconnected, 4, 75, 4.873628
disconnected, 4, 100, 7.733143
disconnected, 4, 150, 5.203247
disconnected, 4, 200, 5.571313
disconnected, 4, 250, 4.910734
disconnected, 4, 300, 4.309675
disconnected, 5, 25, 5.151606
disconnected, 5, 50, 6.364260
disconnected, 5, 75, 9.942895
disconnected, 5, 100, 7.700205
disconnected, 5, 150, 7.109846
disconnected, 5, 200, 7.233729
disconnected, 5, 250, 10.734429
disconnected, 5, 300, 10.893578
disconnected, 6, 25, 3.049985
disconnected, 6, 50, 7.150816
disconnected, 6, 75, 5.781892
disconnected, 6, 100, 10.052437
disconnected, 6, 150, 10.044002
disconnected, 6, 200, 10.129970
disconnected, 6, 250, 10.081686
disconnected, 6, 300, 8.432401
disconnected, 7, 25, 0.136641
disconnected, 7, 50, 2.570455
disconnected, 7, 75, 6.960291
disconnected, 7, 100, 5.182800
disconnected, 7, 150, 6.778969
disconnected, 7, 200, 9.287216
disconnected, 7, 250, 5.462096
disconnected, 7, 300, 14.464186
disconnected, 8, 25, 0.459532
disconnected, 8, 50, 0.026920
disconnected, 8, 75, 4.140994
disconnected, 8, 100, 0.610285
disconnected, 8, 150, 3.878208
disconnected, 8, 200, 4.687964
disconnected, 8, 250, 4.516397
disconnected, 8, 300, 5.726217
disconnected, 9, 25, 1.000000
disconnected, 9, 50, 1.000000
disconnected, 9, 75, 1.000000
disconnected, 9, 100, 1.000000
disconnected, 9, 150, 1.000000
disconnected, 9, 200, 1.000000
disconnected, 9, 250, 1.000000
disconnected, 9, 300, 1.000000
disconnected, 10, 25, 0.499390
disconnected, 10, 50, 0.051183
disconnected, 10, 75, 0.237388
disconnected, 10, 100, 0.041978
disconnected, 10, 150, 0.014509
disconnected, 10, 200, 0.016338
disconnected, 10, 250, 0.000414
disconnected, 10, 300, 0.000599
mixed, 2, 25, 1.437076
mixed, 2, 50, 1.914029
mixed, 2, 75, 4.756303
mixed, 2, 100, 1.955766
mixed, 2, 150, 3.952234
mixed, 2, 200, 4.634185
mixed, 2, 250, 2.782241
mixed, 2, 300, 5.291013
mixed, 3, 25, 3.712412
mixed, 3, 50, 5.374584
mixed, 3, 75, 5.445185
mixed, 3, 100, 6.630268
mixed, 3, 150, 4.995645
mixed, 3, 200, 5.033440
mixed, 3, 250, 6.050024
mixed, 3, 300, 6.124358
mixed, 4, 25, 7.639797
mixed, 4, 50, 7.509667
mixed, 4, 75, 9.310791
mixed, 4, 100, 9.697656
mixed, 4, 150, 7.698475
mixed, 4, 200, 7.590848
mixed, 4, 250, 9.634903
mixed, 4, 300, 10.614316
mixed, 5, 25, 5.710616
mixed, 5, 50, 9.962981
mixed, 5, 75, 11.902987
mixed, 5, 100, 9.676978
mixed, 5, 150, 12.345013
mixed, 5, 200, 15.629185
mixed, 5, 250, 16.026147
mixed, 5, 300, 11.477260
mixed, 6, 25, 9.243430
mixed, 6, 50, 11.558219
mixed, 6, 75, 13.032402
mixed, 6, 100, 15.591592
mixed, 6, 150, 14.324752
mixed, 6, 200, 12.643998
mixed, 6, 250, 12.303151
mixed, 6, 300, 12.608638
mixed, 7, 25, 13.315707
mixed, 7, 50, 1.000000
mixed, 7, 75, 13.527454
