geometry, dimension, cardinality, alpha
degenerate, 9, 25, 5996.063487
degenerate, 9, 50, 15927.631247
degenerate, 9, 75, 8414.930263
degenerate, 9, 100, 71469.917534
degenerate, 9, 150, 181194.951840
degenerate, 9, 200, 204208.404009
degenerate, 9, 250, 118759.924352
degenerate, 9, 300, 187066.537697
degenerate, 10, 25, 6966.544459
degenerate, 10, 50, 2171.700684
degenerate, 10, 75, 52226.468654
degenerate, 10, 100, 63533.585679
degenerate, 10, 150, 162775.718966
degenerate, 10, 200, 184399.077399
degenerate, 10, 250, 265052.500464
degenerate, 10, 300, 411358.329230
disconnected, 2, 25, 39855.073497
disconnected, 2, 50, 5355.952447
disconnected, 2, 75, 48909.082523
disconnected, 2, 100, 80011.915723
disconnected, 2, 150, 47285.274258
disconnected, 2, 200, 94709.561937
disconnected, 2, 250, 147420.025214
disconnected, 2, 300, 202811.084079
disconnected, 3, 25, 863.763524
disconnected, 3, 50, 2990.232998
disconnected, 3, 75, 210.398417
disconnected, 3, 100, 3500.676468
disconnected, 3, 150, 1012.519907
disconnected, 3, 200, 3584.939671
disconnected, 3, 250, 842.391739
disconnected, 3, 300, 2853.267551
disconnected, 4, 25, 2176.041647
disconnected, 4, 50, 3766.805168
disconnected, 4, 75, 222.265120
disconnected, 4, 100, 229.691074
disconnected, 4, 150, 413.238742
disconnected, 4, 200, 301.840245
disconnected, 4, 250, 991.855054
disconnected, 4, 300, 1187.070897
disconnected, 5, 25, 8924.420817
disconnected, 5, 50, 1769.021735
disconnected, 5, 75, 1743.720436
disconnected, 5, 100, 8985.613773
disconnected, 5, 150, 3505.210925
disconnected, 5, 200, 251.132584
disconnected, 5, 250, 5988.346922
disconnected, 5, 300, 1881.044455
disconnected, 6, 25, 573.676144
disconnected, 6, 50, 787.257878
disconnected, 6, 75, 825.430826
disconnected, 6, 100, 881.714873
disconnected, 6, 150, 1728.169515
disconnected, 6, 200, 1353.436216
disconnected, 6, 250, 1352.494341
disconnected, 6, 300, 935.950911
disconnected, 7, 25, 983.467676
disconnected, 7, 50, 250.090288
disconnected, 7, 75, 265.551670
disconnected, 7, 100, 609.521301
disconnected, 7, 150, 1017.356977
disconnected, 7, 200, 160.063350
disconnected, 7, 250, 120.341911
disconnected, 7, 300, 77.133715
disconnected, 8, 25, 508.239293
disconnected, 8, 50, 860.404954
disconnected, 8, 75, 519.623031
disconnected, 8, 100, 9027.044673
disconnected, 8, 150, 877.894701
disconnected, 8, 200, 877.894701
disconnected, 8, 250, 894.995725
disconnected, 8, 300, 182.629051
disconnected, 9, 25, 1.000000
disconnected, 9, 50, 1.000000
disconnected, 9, 75, 1.000000
disconnected, 9, 100, 1.000000
disconnected, 9, 150, 1.000000
disconnected, 9, 200, 1.000000
disconnected, 9, 250, 1.000000
disconnected, 9, 300, 1.000000
disconnected, 10, 25, 319.317312
disconnected, 10, 50, 231.170775
disconnected, 10, 75, 278.658631
disconnected, 10, 100, 139.395108
disconnected, 10, 150, 228.036172
disconnected, 10, 200, 226.277794
disconnected, 10, 250, 461.647655
disconnected, 10, 300, 426.220548
mixed, 2, 25, 3922.778283
mixed, 2, 50, 29936.532010
mixed, 2, 75, 56554.302707
mixed, 2, 100, 73747.108821
mixed, 2, 150, 65517.802923
mixed, 2, 200, 25849.552199
mixed, 2, 250, 29381.340639
mixed, 2, 300, 50136.642980
mixed, 3, 25, 1389.906457
mixed, 3, 50, 888.020824
mixed, 3, 75, 3386.329494
mixed, 3, 100, 1937.959474
mixed, 3, 150, 1824.068978
mixed, 3, 200, 2848.692773
mixed, 3, 250, 6049.234039
mixed, 3, 300, 6445.081778
mixed, 4, 25, 1598.701210
mixed, 4, 50, 325.436083
mixed, 4, 75, 561.044019
mixed, 4, 100, 1008.414909
mixed, 4, 150, 1518.788454
mixed, 4, 200, 2305.082012
mixed, 4, 250, 2490.247426
mixed, 4, 300, 8051.078876
mixed, 5, 25, 149.043606
mixed, 5, 50, 1703.210945
mixed, 5, 75, 828.395833
mixed, 5, 100, 1054.712245
mixed, 5, 150, 5209.004913
mixed, 5, 200, 5945.387751
mixed, 5, 250, 8532.257483
mixed, 5, 300, 10637.416424
mixed, 6, 25, 752.768267
mixed, 6, 50, 614.358896
mixed, 6, 75, 1933.765127
mixed, 6, 100, 1373.936684
mixed, 6, 150, 3512.665369
mixed, 6, 200, 5879.533128
mixed, 6, 250, 6700.593559
mixed, 6, 300, 7066.816571
mixed, 7, 25, 1151.728967
mixed, 7, 50, 1431.211138
mixed, 7, 75, 2007.937169
mixed, 7, 100, 1807.650066
mixed, 7, 150, 3559.282522
mixed, 7, 200, 4217.300639
mixed, 7, 250, 5206.454327
mixed, 7, 300, 6249.716938
mixed, 8, 25, 681.064050
mixed, 8, 50, 1762.195134
mixed, 8, 75, 2003.884984
mixed, 8, 100, 2003.463670
mixed, 8, 150, 3480.236794
mixed, 8, 200, 5192.150053
mixed, 8, 250, 7242.911607
mixed, 8, 300, 7861.473147
mixed, 9, 25, 657.490699
mixed, 9, 50, 1179.457409
mixed, 9, 75, 1599.080224
mixed, 9, 100, 1984.688936
mixed, 9, 150, 3730.551346
mixed, 9, 200, 5204.194618
mixed, 9, 250, 6926.016391
mixed, 9, 300, 10621.686659
mixed, 10, 25, 1418.668060
mixed, 10, 50, 1237.998176
mixed, 10, 75, 1620.194388
mixed, 10, 100, 3103.885628
mixed, 10, 150, 4914.363099
mixed, 10, 200, 6966.228528
mixed, 10, 250, 14641.919163
mixed, 10, 300, 16260.669794
disconnected, 2, 25, 27149.374532
disconnected, 2, 50, 44926.431062
disconnected, 2, 75, 68181.978470
disconnected, 2, 100, 144570.622708
disconnected, 2, 150, 59343.720799
disconnected, 2, 200, 116633.974750
disconnected, 2, 250, 236158.247021
disconnected, 2, 300, 431743.624016
disconnected, 3, 25, 30.411266
disconnected, 3, 50, 65.457344
disconnected, 3, 75, 119.152400
disconnected, 3, 100, 180.091936
disconnected, 3, 150, 243.140644
disconnected, 3, 200, 372.919276
disconnected, 3, 250, 563.991361
disconnected, 3, 300, 678.631589
disconnected, 4, 25, 133.508484
disconnected, 4, 50, 2022.129938
disconnected, 4, 75, 1410.761367
disconnected, 4, 100, 2465.500927
disconnected, 4, 150, 481.004159
disconnected, 4, 200, 180.367428
disconnected, 4, 250, 1018.059709
disconnected, 4, 300, 369.625943
disconnected, 5, 25, 1435.136909
disconnected, 5, 50, 2226.357199
disconnected, 5, 75, 2181.795325
disconnected, 5, 100, 3215.198308
disconnected, 5, 150, 4179.680966
disconnected, 5, 200, 5700.418482
disconnected, 5, 250, 6945.969642
disconnected, 5, 300, 9356.260966
disconnected, 6, 25, 1190.834012
disconnected, 6, 50, 2011.841806
disconnected, 6, 75, 2222.570102
disconnected, 6, 100, 2653.705491
disconnected, 6, 150, 3294.484666
disconnected, 6, 200, 4250.642426
disconnected, 6, 250, 5830.165426
disconnected, 6, 300, 5958.473003
disconnected, 7, 25, 1294.481131
disconnected, 7, 50, 1533.554186
disconnected, 7, 75, 1449.838995
disconnected, 7, 100, 1618.638625
disconnected, 7, 150, 3205.804668
disconnected, 7, 200, 3872.081821
disconnected, 7, 250, 4576.603014
disconnected, 7, 300, 6158.568185
disconnected, 8, 25, 1003.511490
disconnected, 8, 50, 1533.046619
disconnected, 8, 75, 1976.857515
disconnected, 8, 100, 3329.344398
disconnected, 8, 150, 3822.493860
disconnected, 8, 200, 3928.901631
disconnected, 8, 250, 5128.597729
disconnected, 8, 300, 10622.605250
disconnected, 9, 25, 784.928562
disconnected, 9, 50, 1427.104952
disconnected, 9, 75, 2059.295926
disconnected, 9, 100, 1946.112914
disconnected, 9, 150, 3946.278254
disconnected, 9, 200, 3514.950624
disconnected, 9, 250, 8678.573842
disconnected, 9, 300, 9025.882970
disconnected, 10, 25, 6118.435769
disconnected, 10, 50, 2958.447001
disconnected, 10, 75, 2945.922312
disconnected, 10, 100, 60.924650
disconnected, 10, 150, 307.627620
disconnected, 10, 200, 7549.959289
disconnected, 10, 250, 7553.674281
disconnected, 10, 300, 7655.509276
degenerate, 2, 25, 362.761316
