geometry, dimension, cardinality, alpha
degenerate, 9, 100, 52.518853
degenerate, 9, 150, 747.358707
degenerate, 9, 200, 718.141102
degenerate, 9, 250, 1001.181129
degenerate, 9, 300, 1672.358392
degenerate, 10, 25, 79.752642
degenerate, 10, 50, 362.486335
degenerate, 10, 75, 126.758778
degenerate, 10, 100, 806.116915
degenerate, 10, 150, 569.675326
degenerate, 10, 200, 820.570455
degenerate, 10, 250, 1002.570023
degenerate, 10, 300, 1557.448639
disconnected, 2, 25, 141.973999
disconnected, 2, 50, 98.220760
disconnected, 2, 75, 1007.975359
disconnected, 2, 100, 171.551840
disconnected, 2, 150, 919.443722
disconnected, 2, 200, 631.877365
disconnected, 2, 250, 4078.536634
disconnected, 2, 300, 2523.068146
disconnected, 3, 25, 19.774975
disconnected, 3, 50, 79.583135
disconnected, 3, 75, 157.914883
disconnected, 3, 100, 29.828045
disconnected, 3, 150, 22.421780
disconnected, 3, 200, 40.119117
disconnected, 3, 250, 32.077710
disconnected, 3, 300, 37.325874
disconnected, 4, 25, 237.299753
disconnected, 4, 50, 177.781311
disconnected, 4, 75, 44.924588
disconnected, 4, 100, 55.445776
disconnected, 4, 150, 39.584294
disconnected, 4, 200, 33.683709
disconnected, 4, 250, 42.111943
disconnected, 4, 300, 65.995767
disconnected, 5, 25, 98.118967
disconnected, 5, 50, 50.636299
disconnected, 5, 75, 134.959721
disconnected, 5, 100, 192.153217
disconnected, 5, 150, 36.005840
disconnected, 5, 200, 73.536079
disconnected, 5, 250, 74.238011
disconnected, 5, 300, 73.713512
disconnected, 6, 25, 62.986666
disconnected, 6, 50, 128.807188
disconnected, 6, 75, 64.301143
disconnected, 6, 100, 105.964733
disconnected, 6, 150, 235.233193
disconnected, 6, 200, 311.740443
disconnected, 6, 250, 252.381635
disconnected, 6, 300, 132.431788
disconnected, 7, 25, 75.807623
disconnected, 7, 50, 62.971807
disconnected, 7, 75, 112.976207
disconnected, 7, 100, 112.438121
disconnected, 7, 150, 249.748548
disconnected, 7, 200, 154.917780
disconnected, 7, 250, 12.563518
disconnected, 7, 300, 18.593095
disconnected, 8, 25, 0.007181
disconnected, 8, 50, 0.018545
disconnected, 8, 75, 0.003912
disconnected, 8, 100, 202.715984
disconnected, 8, 150, 234.223667
disconnected, 8, 200, 131.744954
disconnected, 8, 250, 200.844650
disconnected, 8, 300, 226.477668
disconnected, 9, 25, 1.000000
disconnected, 9, 50, 1.000000
disconnected, 9, 75, 1.000000
disconnected, 9, 100, 1.000000
disconnected, 9, 150, 1.000000
disconnected, 9, 200, 1.000000
disconnected, 9, 250, 1.000000
disconnected, 9, 300, 1.000000
disconnected, 10, 25, 162.387642
disconnected, 10, 50, 142.766337
disconnected, 10, 75, 154.518593
disconnected, 10, 100, 167.396077
disconnected, 10, 150, 135.716405
disconnected, 10, 200, 110.506856
disconnected, 10, 250, 100.808475
disconnected, 10, 300, 146.757587
mixed, 2, 25, 23.255342
mixed, 2, 50, 173.619665
mixed, 2, 75, 75.099138
mixed, 2, 100, 154.867345
mixed, 2, 150, 180.772650
mixed, 2, 200, 1565.908205
mixed, 2, 250, 399.456276
mixed, 2, 300, 334.892355
mixed, 3, 25, 24.688108
mixed, 3, 50, 14.057607
mixed, 3, 75, 103.405261
mixed, 3, 100, 69.664746
mixed, 3, 150, 27.338013
mixed, 3, 200, 69.981443
mixed, 3, 250, 108.629840
mixed, 3, 300, 100.190957
mixed, 4, 25, 40.352197
mixed, 4, 50, 34.058942
mixed, 4, 75, 57.212366
mixed, 4, 100, 48.429212
mixed, 4, 150, 370.318142
mixed, 4, 200, 95.071489
mixed, 4, 250, 136.231829
mixed, 4, 300, 71.321865
mixed, 5, 25, 125.429875
mixed, 5, 50, 216.342961
mixed, 5, 75, 240.227261
mixed, 5, 100, 273.656481
mixed, 5, 150, 284.397300
mixed, 5, 200, 413.921954
mixed, 5, 250, 195.457115
mixed, 5, 300, 168.284805
mixed, 6, 25, 162.755651
mixed, 6, 50, 171.078248
mixed, 6, 75, 210.044476
mixed, 6, 100, 31.342338
mixed, 6, 150, 338.681089
mixed, 6, 200, 431.191990
mixed, 6, 250, 385.947433
mixed, 6, 300, 447.976110
mixed, 7, 25, 152.409288
mixed, 7, 50, 193.050098
mixed, 7, 75, 220.593874
mixed, 7, 100, 204.525888
mixed, 7, 150, 296.544025
mixed, 7, 200, 388.952018
mixed, 7, 250, 446.051265
mixed, 7, 300, 489.911298
mixed, 8, 25, 125.174372
mixed, 8, 50, 170.252055
mixed, 8, 75, 213.916570
mixed, 8, 100, 277.114126
mixed, 8, 150, 271.667549
mixed, 8, 200, 387.958064
mixed, 8, 250, 369.496677
mixed, 8, 300, 374.329938
mixed, 9, 25, 170.398290
mixed, 9, 50, 173.733252
