geometry, dimension, cardinality, alpha
degenerate, 8, 300, 204947.261320
degenerate, 9, 25, 1683.652492
degenerate, 9, 50, 5963.801728
degenerate, 9, 75, 13937.389152
degenerate, 9, 100, 24436.285388
degenerate, 9, 150, 51618.753286
degenerate, 9, 200, 88105.839389
degenerate, 9, 250, 123778.699772
degenerate, 9, 300, 167241.815687
degenerate, 10, 25, 1282.549595
degenerate, 10, 50, 5996.009512
degenerate, 10, 75, 11844.643202
degenerate, 10, 100, 20574.979944
degenerate, 10, 150, 44069.220659
degenerate, 10, 200, 82738.083930
degenerate, 10, 250, 119477.232905
degenerate, 10, 300, 176000.811208
disconnected, 2, 25, 22880.586468
disconnected, 2, 50, 79124.681986
disconnected, 2, 75, 185564.307026
disconnected, 2, 100, 331155.676304
disconnected, 2, 150, 682062.107116
disconnected, 2, 200, 1215037.246271
disconnected, 2, 250, 1663568.431280
disconnected, 2, 300, 2519075.575532
disconnected, 3, 25, 663.209177
disconnected, 3, 50, 1860.949520
disconnected, 3, 75, 3036.771480
disconnected, 3, 100, 4727.799687
disconnected, 3, 150, 7094.251821
disconnected, 3, 200, 9887.316232
disconnected, 3, 250, 13014.899862
disconnected, 3, 300, 15481.365408
disconnected, 4, 25, 151.000697
disconnected, 4, 50, 334.251565
disconnected, 4, 75, 519.352828
disconnected, 4, 100, 718.240024
disconnected, 4, 150, 1095.673968
disconnected, 4, 200, 1446.470445
disconnected, 4, 250, 1843.033906
disconnected, 4, 300, 2031.060955
disconnected, 5, 25, 57.733566
disconnected, 5, 50, 129.440554
disconnected, 5, 75, 140.507767
disconnected, 5, 100, 191.843207
disconnected, 5, 150, 275.832133
disconnected, 5, 200, 466.344469
disconnected, 5, 250, 562.285977
disconnected, 5, 300, 652.291849
disconnected, 6, 25, 29.400456
disconnected, 6, 50, 57.954619
disconnected, 6, 75, 92.744966
disconnected, 6, 100, 111.908401
disconnected, 6, 150, 159.436953
disconnected, 6, 200, 205.105294
disconnected, 6, 250, 230.259821
disconnected, 6, 300, 250.680264
disconnected, 7, 25, 20.349303
disconnected, 7, 50, 29.826728
disconnected, 7, 75, 54.627379
disconnected, 7, 100, 75.934305
disconnected, 7, 150, 96.091443
disconnected, 7, 200, 112.000289
disconnected, 7, 250, 124.348182
disconnected, 7, 300, 150.995845
disconnected, 8, 25, 13.732662
disconnected, 8, 50, 19.712729
disconnected, 8, 75, 26.422812
disconnected, 8, 100, 28.606971
disconnected, 8, 150, 67.105170
disconnected, 8, 200, 73.389221
disconnected, 8, 250, 94.530157
